normales,especiales,observacion,
,GAC CH-103,,
,GAC CH-104,,
,GAC CH-201,,
,GAC CH-202,,
,GAC CH-203,,
GAC CH-204,,,
GAC 70229,,,
GAC 70232,,,
GAC 70233,,,
GAC 90044,,,
GAC 50201,,,
DIN 4005,,,
DIN 5008,,,
FF 1522F,,,
OO 1858SQ,,,
JUN ACO/1,,,
OO 7516C,,,
CC 5066,,,
CCCA 514 ,,,
CCCA 521,,,
VW 224SQ,,,
JAI 10003,,,
JAI 10004,,,
JAI 10040,,,
JAI 10100,,,
JAI 10103,,,
JAI 10150,,,
JAI 10207,,,
JAI 10220,,,
JAI 10242,,,
JAI 10297,,,
JAI 10331,,,
JAI 10335,,,
JAI 10337,,,
JAI 10341,,,
JAI 10400,,,
JAI 10421,,,
JAI 10641,,,
JAI 10643,,,
JAI 10660,,,
JAI 10715,,,
JAI 10745,,,
JAI 10761,,,
JAI 10771,,,
JAI 10796,,,
JAI 10800,,,
JAI 10859,,,
JAI 11001,,,
JAI 11003,,,
JAI 11031,,,
JAI 11055,,,
JAI 11170,,,
JAI 11210,,,
JAI 11250,,,
JAI 11260,,,
JAI 11270,,,
JAI 11280,,,
JAI 11320,,,
JAI 11330,,,
JAI 11335,,,
JAI 11381,,,
JAI 10902,,,
JAI 10911,,,
JAI 10918,,,
JAI 10919,,,
JAI 10922,,,
JAI 10924,,,
JAI 10925,,,
JAI 10927,,,
JAI 10928,,,
JAI 10929,,,
JAI 10931,,,
JAI 10932,,,
JAI 10933,,,
JAI 10934,,,
JAI 10935,,,
JAI 10936,,,
JAI 10937,,,
JAI 10938,,,
JAI 10939,,,
JAI 10943,,,
JAI 10945,,,
JAI 10946,,,
JAI 10949,,,
JAI 10955,,,
JAI 10956,,,
JAI 10957,,,
JAI 10958,,,
JAI 10959,,,
JAI 10961,,,
JAI 10962,,,
JAI 10963,,,
JAI 40001,,,
JAI 40002,,,
JAI 40003,,,
JAI 40004,,,
JAI 40005,,,
JAI 40006,,,
JAI 40007,,,
